"Cement","Blast.Furnace.Slag","Fly.Ash","Water","Superplasticizer","Coarse.Aggregate","Fine.Aggregate","Age","Strength"
212.1,0,121.6,180.3,5.7,1057.6,779.3,56,34.2
288,192,0,192,0,932,717.8,3,16.11
277.1,0,97.4,160.6,11.8,973.9,875.6,28,48.28
250,0,95.7,191.8,5.3,948.9,857.2,28,27.22
325,0,0,184,0,1063,783,28,30.57
297.8,137.2,106.9,201.3,6,878.4,655.3,28,53.52
393,0,0,192,0,940,758,28,39.58
382.5,0,0,185.7,0,1047.8,739.3,28,37.44
505,0,60,195,0,1030,630,28,64.02
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.9
149,139,109,193,6,892,780,28,23.69
540,0,0,173,0,1125,613,180,71.62
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
143,169,143,191,8,967,643,28,29.72
296,0,0,186,0,1090,769,7,18.91
375,93.8,0,126.6,23.4,852.1,992.6,28,56.7
194.7,0,100.5,165.6,7.5,1006.4,905.9,3,12.45
277.1,0,97.4,160.6,11.8,973.9,875.6,56,51.04
397,0,0,186,0,1040,734,28,36.94
167,75.4,167,164,7.9,1007.3,770.1,3,15.52
153.1,145,113,178.5,8,867.2,824,28,26.23
359,19,141,154,10.9,942,801,28,59.49
380,0,0,228,0,932,670,90,52.91
331,0,0,192,0,978,825,180,39
194.7,0,100.5,165.6,7.5,1006.4,905.9,56,33.96
266,114,0,228,0,932,670,28,45.85
173,116,0,192,0,946.8,856.8,90,32.1
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.8
190.3,0,125.2,161.9,9.9,1088.1,802.6,100,40.39
218.9,0,124.1,158.5,11.3,1078.7,794.9,56,37.27
194.7,0,100.5,170.2,7.5,998,901.8,56,43.39
183.9,122.6,0,203.5,0,959.2,800,90,32.53
277,0,0,191,0,968,856,360,33.7
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,63.53
355,19,97,145,12.3,967,871,28,55.45
213.5,0,174.2,159.2,11.7,1043.6,771.9,14,29.59
144,15,195,176,6,1021,709,28,15.34
469,117.2,0,137.8,32.2,852.1,840.5,91,70.7
212.5,0,100.4,159.3,8.7,1007.8,903.6,56,42.55
290.4,0,96.2,168.1,9.4,961.2,865,100,48.97
183.9,122.6,0,203.5,0,959.2,800,3,4.9
380,95,0,228,0,932,594,270,41.15
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,66.82
251.4,0,118.3,188.5,5.8,1028.4,757.7,56,36.97
236,157,0,192,0,972.6,749.1,7,20.42
310,0,0,192,0,1012,830,7,17.24
339,0,0,197,0,968,781,90,35.17
424,22,132,178,8.5,822,750,7,39
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82
238.1,0,0,185.7,0,1118.8,789.3,28,17.58
540,0,0,173,0,1125,613,28,67.31
375,0,0,186,0,1038,758,7,26.06
475,0,0,228,0,932,594,28,39.29
500,0,0,200,0,1125,613,14,36.94
297.2,0,117.5,174.8,9.5,1022.8,753.5,28,47.4
475,0,0,162,9.5,1044,662,28,58.52
337.9,189,0,174.9,9.5,944.7,755.8,28,49.9
475,0,0,228,0,932,594,7,38.6
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
475,0,0,228,0,932,594,365,41.93
400,0,0,187,0,1025,745,28,43.7
213.7,0,174.7,154.8,10.2,1053.5,776.4,56,46.64
225,0,0,181,0,1113,833,28,17.34
318,0,126,210,6,861,737,28,40.06
310,0,0,192,0,971,850.6,3,9.87
190.3,0,125.2,166.6,9.9,1079,798.9,56,31.72
190,190,0,228,0,932,670,180,46.93
349,0,0,192,0,1056,809,120,40.86
198.6,132.4,0,192,0,978.4,825.5,90,38.07
135,0,166,180,10,961,805,28,13.29
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
149,236,0,176,13,847,893,28,32.96
133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.94
192,288,0,192,0,929.8,716.1,28,39.32
122.6,183.9,0,203.5,0,958.2,800.1,3,3.32
475,0,0,228,0,932,594,90,42.23
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.83
198.6,132.4,0,192,0,978.4,825.5,360,44.3
149,118,92,183,7,953,780,28,23.52
200,0,0,180,0,1125,845,28,12.25
424,22,132,178,8.5,822,750,28,62.05
491,26,123,201,3.9,822,699,56,61.86
439,177,0,186,11.1,884.9,707.9,7,56.1
380,0,0,228,0,932,670,270,53.3
540,0,0,173,0,1125,613,270,74.17
150,236.8,0,173.8,11.9,1069.3,674.8,28,37.43
236,157,0,192,0,972.6,749.1,3,13.57
250,0,95.7,187.4,5.5,956.9,861.2,100,42.35
166.8,250.2,0,203.5,0,975.6,692.6,3,6.9
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.8
389.9,189,0,145.9,22,944.7,755.8,7,59.09
450.1,50,0,200,3,1124.4,613.2,28,39.38
168,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82
531.3,0,0,141.8,28.2,852.1,893.7,7,46.9
155.6,243.5,0,180.3,10.7,1022,697.7,28,37.36
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99
238.1,0,94.1,186.7,7,949.9,847,3,19.93
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
250,0,95.7,191.8,5.3,948.9,857.2,56,39.64
146.5,114.6,89.3,201.9,8.8,860,829.5,28,19.99
213.8,98.1,24.5,181.7,6.7,1066,785.5,3,13.18
427.5,47.5,0,228,0,932,594,365,43.7
275.1,0,121.4,159.5,9.9,1053.6,777.5,3,23.8
202,11,141,206,1.7,942,801,7,15.07
252.3,0,98.8,146.3,14.2,987.8,889,14,42.29
295.8,0,0,185.7,0,1091.4,769.3,7,14.84
310,0,0,192,0,1012,830,28,27.83
331,0,0,192,0,978,825,7,16.26
296,0,107,221,11,819,778,28,31.42
133,210,0,196,3,949,795,28,31.03
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.61
165,128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72
212.6,0,100.4,159.4,10.4,1003.8,903.8,56,44.4
525,0,0,189,0,1125,613,7,42.42
252,0,0,185,0,1111,784,7,13.71
322,0,0,203,0,974,800,28,25.18
135,105,193,196,6,965,643,28,21.91
376,0,0,214.6,0,1003.5,762.4,3,16.28
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
491,26,123,201,3.9,822,699,3,29.55
255.5,170.3,0,185.7,0,1026.6,724.3,28,32.05
387,20,94,157,13.9,938,845,56,47.97
491,26,123,210,3.9,882,699,3,25.61
160,188,146,203,11,829,710,28,32.84
160,128,122,182,6.4,824,879,28,39.4
155,183,0,193,9,877,868,28,23.79
446,24,79,162,11.6,967,712,56,55.25
314,0,113,170,10,925,783,28,38.46
165,0,143.6,163.8,0,1005.6,900.9,100,37.96
157,236,0,192,0,935.4,781.2,90,43.38
250,0,95.7,191.8,5.3,948.9,857.2,3,8.49
376,0,0,214.6,0,1003.5,762.4,28,31.97
154,144,112,220,10,923,658,28,16.5
277,0,0,191,0,968,856,180,32.33
166,260,0,183,13,859,827,28,37.91
108.3,162.4,0,203.5,0,938.2,849,28,20.59
375,93.8,0,126.6,23.4,852.1,992.6,91,62.5
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
385,0,0,186,0,966,763,28,31.35
250,180,95,159,9.5,860,800,28,67.87
480,0,0,192,0,936,721,28,43.89
168,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.35
424,22,132,168,8.9,822,750,28,72.1
380,95,0,228,0,932,594,28,36.45
281,0,0,186,0,1104,774,28,22.44
148,175,0,171,2,1000,828,28,26.92
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96
153.1,145,113,178.5,8,1001.9,688.7,28,25.56
154.8,0,142.8,193.3,9.1,877.2,867.7,28,9.74
155,183,0,193,9,1047,697,28,18.28
251.8,0,99.9,146.1,12.4,1006,899.8,14,33.36
381.4,0,0,185.7,0,1104.6,784.3,28,22.49
238.1,0,94.1,186.7,7,949.9,847,28,30.23
250,0,95.7,191.8,5.3,948.9,857.2,100,41.16
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15
446,24,79,162,11.6,967,712,7,39.3
424,22,132,168,8.9,822,750,7,40.29
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02
251.4,0,118.3,188.5,6.4,1028.4,757.7,100,44.21
234,156,0,189,5.9,981,760,28,39.3
212,0,124.8,159,7.8,1085.4,799.5,100,47.82
359,19,141,154,10.9,942,801,56,68.75
266,112,87,178,10,910,745,28,39.42
295.7,0,95.6,171.5,8.9,955.1,859.2,100,52.04
359,19,141,154,10.9,942,801,3,23.64
295.7,0,95.6,171.5,8.9,955.1,859.2,28,39.94
332.5,142.5,0,228,0,932,594,90,37.72
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
285,190,0,163,7.6,1031,685,28,53.58
307,0,0,193,0,968,812,180,34.49
284,120,0,168,7,970,794,28,40.93
436,0,0,218,0,838.4,719.7,28,23.85
380,0,0,228,0,932,670,180,53.1
334,17.6,158,189,15.3,967,633,28,44.33
182,45.2,122,170.2,8.2,1059.4,780.7,100,48.67
272.8,181.9,0,185.7,0,1012.4,714.3,7,19.77
246.8,0,125.1,143.3,12,1086.8,800.9,28,52.5
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71
318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.1
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.46
213.5,0,174.2,159.2,11.7,1043.6,771.9,56,51.26
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
116,173,0,192,0,909.8,891.9,3,6.28
251.4,0,118.3,188.5,5.8,1028.4,757.7,3,17.22
284,15,141,179,5.5,842,801,56,44.52
525,0,0,189,0,1125,613,28,55.94
255.3,98.8,77,188.6,6.5,919,749.3,28,33.8
251.4,0,118.3,192.9,5.8,1043.6,754.3,100,40.15
446,24,79,162,10.3,967,712,28,53.39
246.8,0,125.1,143.3,12,1086.8,800.9,14,42.22
366,187,0,191.3,6.6,824.3,756.9,28,65.91
155,184,143,194,9,880,699,28,28.99
349,0,0,192,0,1047,806,180,41.05
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
152,178,139,168,18,944,695,28,36.35
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87
266,114,0,228,0,932,670,270,51.73
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
277,0,0,191,0,968,856,14,21.26
303.6,139.9,0,213.5,6.2,895.5,722.5,28,33.42
300,0,0,184,0,1075,795,7,15.58
146,173,0,182,3,986,817,28,23.74
151.6,0,111.9,184.4,7.9,992,815.9,28,12.18
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81
321.3,164.2,0,190.5,4.6,870,774,28,57.22
166.8,250.2,0,203.5,0,975.6,692.6,7,15.75
228,342.1,0,185.7,0,955.8,674.3,7,21.92
158.6,148.9,116,175.1,15,953.3,719.7,28,27.68
275.1,0,121.4,159.5,9.9,1053.6,777.5,14,38.77
300,0,0,184,0,1075,795,28,26.85
184,86,190,213,6,923,623,28,22.93
250.2,166.8,0,203.5,0,977.6,694.1,7,19.35
166.1,0,163.3,176.5,4.5,1058.6,780.1,3,10.76
236,0,0,193,0,968,885,180,24.1
186.2,124.1,0,185.7,0,1083.4,764.3,28,17.6
359,19,141,154,10.9,942,801,7,38.61
250.2,166.8,0,203.5,0,977.6,694.1,90,47.71
133,200,0,192,0,927.4,839.2,90,36.59
332.5,142.5,0,228,0,932,594,7,30.28
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14
289,0,0,192,0,913.2,895.3,3,11.65
290.2,193.5,0,185.7,0,998.2,704.3,28,33.04
288,192,0,192,0,932,717.8,7,23.52
155,0,143,193,9,877,868,28,9.74
152.6,238.7,0,200,6.3,1001.8,683.9,28,26.86
322,149,0,186,8,951,709,28,52.42
290.4,0,96.2,168.1,9.4,961.2,865,3,22.5
213.5,0,174.2,154.6,11.7,1052.3,775.5,3,17.37
393,0,0,192,0,940.6,785.6,3,19.2
331,170,0,195,8,811,802,28,56.61
236,157,0,192,0,972.6,749.1,90,47.78
237.5,237.5,0,228,0,932,594,7,26.26
349,0,0,192,0,1047,806.9,3,15.05
387,20,94,157,13.9,938,845,3,25.51
296,0,106.7,221.4,10.5,819.2,778.4,28,31.42
264.5,111,86.5,195.5,5.9,832.6,790.4,28,41.54
321.4,0,127.9,182.5,11.5,870.1,779.7,28,37.27
425,106.3,0,151.4,18.6,936,803.7,91,66.7
337.9,189,0,174.9,9.5,944.7,755.8,91,67.8
116,173,0,192,0,909.8,891.9,7,10.09
376,0,0,214.6,0,1003.5,762.4,56,36.3
144.8,0,133.6,180.8,11.1,979.5,811.5,28,13.2
229.7,0,118.2,195.2,6.1,1028.1,757.6,56,31.35
304,76,0,228,0,932,670,365,55.26
178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
